"","Name","City","Lat","Long","dummy"
"116","AGAPE FAMILY HOME","LOS ANGELES",34.0340722,-118.3203715,1
"117","AGAPE HOME","CHULA VISTA",32.6428264,-117.0790666,1
"118","AGAPE PLACE OF HOPE INC","ANTIOCH",37.9557742,-121.7561649,1
"119","AGAPE RESIDENTIAL CARE","SAN DIEGO",32.7005669,-117.1192654,1
"120","AGAPE #2","SAN DIEGO",32.9215708,-117.1306461,1
"121","AGATI HOME CARE","MARYSVILLE",39.1153404,-121.5386323,1
"122","AGDA RESIDENTIAL CARE HOME","PORTERVILLE",36.0928476,-119.0584228,1
"123","AGING LOVELY","FAIRFIELD",38.2558832,-122.0544605,1
"124","AGUILAR FAMILY HOME","COVINA",34.0733388,-117.8533726,1
"125","AGUILAR HOME","SPRINGVILLE",36.1046974,-118.8593202,1
"126","AHMEN RESIDENTIAL FACILITY","INGLEWOOD",33.9484027,-118.3251549,1
"127","AIDA'S ADULT CARE","SAN DIEGO",32.6829846,-117.0294695,1
"128","AIDA'S FAMILY HOME","CARMICHAEL",38.5951053,-121.3487149,1
"129","AIDAS BOARD & CARE HOME","LANCASTER",34.7105018,-118.1460196,1
"130","AIDEN HOMES INC","LOS ANGELES",34.0916004,-118.2050567,0
"131","AILEEN CANTOR-FERMO RESIDENTIAL CARE HOME","RIO LINDA",38.6949332,-121.4151956,1
"132","AIMES CORONADO","BAKERSFIELD",35.4062251,-118.9422011,1
"133","AIMES CREST","BAKERSFIELD",35.4100021,-118.9540506,1
"134","AIMES JADE","BAKERSFIELD",35.387056,-118.953987,1
"135","AIMES NOBLE","BAKERSFIELD",35.4123674,-119.3143892,1
"136","AIMES SHELLEY","BAKERSFIELD",35.3870616,-118.9574561,1
"137","AIROSO FAMILY HOME","VALLEJO",38.1112162,-122.2577998,1
"138","AIZABEL HOME","GLENDALE",34.1654462,-118.2345472,1
"139","AK RESIDENTIAL CARE HOME","SAN JOSE",37.2789778,-121.8201483,1
"140","ALADO RESIDENTIAL CARE","EL CAJON",32.832001,-116.8993399,1
"141","ALAMEDA HOUSE","GOLETA",34.4349942,-119.8793753,1
"142","ALBRIGHT HOME","SOUTH SAN FRANCISCO",37.635684,-122.44787,1
"143","ALCOR GUEST HOME","STOCKTON",37.925691,-121.3163621,1
"144","ALEGRE LOVELACE CARE HOME","ELK GROVE",38.3843304,-121.4488599,1
"145","ALEJANDRA'S HOME #1","BONITA",32.6488889,-116.99683,1
"146","ALEMOH FAMILY HOME","LAKEVIEW TERRACE",34.2790694,-118.3645849,1
"147","ALENA'S GUEST HOME","ANAHEIM",34.0646423,-118.2332921,1
"148","ALEXA'S HOME","SANTA ANA",33.737054,-117.9113246,1
"149","ALEXANDER'S HOUSE TOO","PASADENA",34.1765311,-118.1540457,1
"150","ALEXANDER ADULT RESIDENTIAL CARE","KERMAN",36.7308913,-120.0630147,1
"151","ALEXANDER FAMILY HOME","LA MIRADA",33.9126632,-118.0312408,1
"152","ALEXEN HOME","SAN LORENZO",37.6819196,-122.1261117,1
"153","ALFA RESIDENTIAL HOME","MORENO VALLEY",33.932267,-117.262682,1
"154","ALI BABA # 1","SAN JOSE",37.3372678,-121.8766519,0
"155","ALI BABA # 2","SAN JOSE",37.3370382,-121.8766938,0
"156","ALICE'S SONOMA AVENUE HOME","SANTA ROSA",38.439361,-122.705117,1
"157","ALICIA CARE CENTER","GLENDALE",34.122028,-118.255263,1
"158","ALKEN CARE","NORWALK",33.9058628,-118.1061819,1
"159","ALL SAINTS EXTENDED CARE INC","SAN RAFAEL",37.9776694,-122.5224685,0
"160","ALL SEASONS CARE HOME","FAIRFIELD",NA,NA,1
"161","ALL SEASONS HOMES, INC.","LANCASTER",34.6970127,-118.188458,1
"162","ALLEN'S CARE HOME","SACRAMENTO",38.6349888,-121.4504608,1
"163","ALLEN'S CARE HOME  #2","SACRAMENTO",38.6544199,-121.4358277,1
"164","ALLEN'S SMALL FAMILY HOME","LOS ANGELES",34.0330397,-118.3605076,1
"165","ALLEN FAMILY HOME II","LOS ANGELES",33.9830122,-118.3461823,1
"166","ALLEN RESIDENTIAL HOLLAND HOUSE","FRESNO",36.797723,-119.8920178,1
"167","ALLEN RESIDENTIAL VISTA HOUSE","FRESNO",36.801749,-119.8959167,1
"168","ALLIANCE RES CARE HOMES, INC DBA GARIBAYHOME III","FRESNO",36.7655,-119.8196308,1
"169","ALLISON MORGAN RESIDENCE","BAKERSFIELD",35.4267439,-119.1169193,1
"170","ALLMON CARE HOME","COLFAX",NA,NA,1
"171","ALMA AMAYA'S FAMILY HOME","OLIVEHURST",39.0931761,-121.5530781,1
"172","ALMA AMAYA'S FAMILY HOME II","YUBA CITY",39.1449097,-121.6232093,1
"173","ALMA HOME","ESCONDIDO",33.0850719,-117.0992285,1
"174","ALMA HOUSE","GLENDALE",34.162378,-118.2759558,1
"175","ALMA LODGE","LOS ANGELES",34.139084,-118.2055226,0
"176","ALMAC RESIDENTIAL 2","RIVERSIDE",33.9163458,-117.4794514,1
"177","ALMAR ADULT RESIDENTIAL FACILITY","RIVERSIDE",33.9237446,-117.4993435,1
"178","ALOHA HOUSE","CHULA VISTA",NA,NA,1
"179","ALOHA RESIDENTIAL CARE INC","UNION CITY",37.5663178,-122.0776258,1
"180","ALOHA SPIRIT RESIDENCE","FONTANA",34.1105886,-117.4063878,1
"181","ALONDRA HOME","NORWALK",33.8878742,-118.0909837,1
"182","ALPHA CHRISTIAN HOMES","PERRIS",33.8361769,-117.1977956,1
"183","ALPHA CHRISTIAN HOMES AT REISLING","HEMET",33.760958,-117.0120885,1
"184","ALPHA CHRISTIAN HOMES II","HEMET",33.7638315,-117.012048,1
"185","ALPHA HOME FOR EXCEPTIONAL NEEDS","LOS ANGELES",34.0118256,-118.3047859,1
"186","ALPHA OMEGA","LOS ANGELES",34.0101516,-118.3143385,1
"187","ALPHA OMEGA II, LLC","LOS ANGELES",33.9816389,-118.2928726,1
"188","ALPINE HOME","REDWOOD CITY",37.4767547,-122.2309539,1
"189","ALPINE HOUSE","WEAVERVILLE",40.7357094,-122.9454619,1
"190","ALPINE TERRACE","ALPINE",32.8335367,-116.7828082,1
"191","ALRU CARE CENTER","BLOOMINGTON",34.087181,-117.3974595,1
"192","ALTA ARDEN MANOR","SACRAMENTO",38.5993082,-121.4081579,0
"193","ALTA II","VISTA",33.2058162,-117.2217031,1
"194","ALTA VISTA HOME","VISTA",33.1964858,-117.2196141,1
"195","ALTAVILLE ADULT RESIDENTIAL FACILITY","BAKERSFIELD",35.3914423,-118.9666607,0
"196","ALTERNATIVE CARE HOME I","ORANGE",33.8134968,-117.8406898,1
"197","ALTERNATIVE LEARNING CENTER","OAKLAND",37.7519793,-122.1233211,1
"198","ALTHAIA HOME","LEMON GROVE",32.7318379,-117.0447675,1
"199","ALTIUS II ADULT RESIDENTIAL","LAWNDALE",33.8885355,-118.3385277,1
"200","ALVARADO ADULT HOME, LLC","POMONA",34.0686102,-117.7295862,1
"201","ALVARADO HOME","MORENO VALLEY",33.934948,-117.227334,1
"202","ALVARADO HOME II","MORENO VALLEY",33.9598614,-117.2361359,1
"203","ALYZA HOME","MONTCLAIR",34.053827,-117.694614,1
"204","AM'S RESIDENTIAL FACILITY","LONG BEACH",33.8091237,-118.2008816,1
"205","AMADOR HOME","DUBLIN",37.7120141,-121.9237618,1
"206","AMADOR HOUSE","SANTA ROSA",38.4356601,-122.7380845,1
"207","AMARILLO CARE HOME","SIMI VALLEY",34.2920208,-118.707142,1
"208","AMAZING EFFORTS","LOS ANGELES",34.0021173,-118.3058044,1
"209","AMAZING EFFORTS II","LOS ANGELES",33.9869962,-118.3262151,1
"210","AMAZING EFFORTS III","LOS ANGELES",33.9850382,-118.3581399,1
"211","AMAZING EFFORTS IV","LOS ANGELES",33.9615929,-118.306323,1
"212","AMAZING EFFORTS V","LOS ANGELES",33.9757645,-118.3253382,1
"213","AMAZING EFFORTS V","LOS ANGELES",33.9757645,-118.3253382,1
"214","AMAZING GRACE CARE HOME","FREMONT",37.541275,-121.994941,1
"215","AMAZING GRACE GUEST HOME","GARDEN GROVE",33.7858834,-117.949679,1
"216","AMAZING GRACE HOME CENTER","NORTH HILLS",34.2295526,-118.4903856,1
"217","AMAZING GRACE HOME CENTER II","NORTH HILLS",34.2259201,-118.489208,1
"218","AMB RESIDENTIAL CARE HOME","SAN FRANCISCO",37.7263637,-122.4323532,1
"219","AMBER GUEST HOME I","TULARE",36.219239,-119.338028,1
"220","AMBIRIA HOMES  II","SOUTH GATE",33.9620623,-118.209,1
"221","AMBIRIA HOMES I","BELL",33.9759397,-118.1747282,1
"222","AMBITIONS - 171ST STREET","TORRANCE",33.875443,-118.3421115,1
"223","AMBITIONS - 183RD STREET","ARTESIA",33.8659873,-118.0903622,1
"224","AMBITIONS - 184TH PLACE","TORRANCE",33.8630717,-118.3423094,1
"225","AMBITIONS - 184TH STREET","TORRANCE",33.8643142,-118.3449934,1
"226","AMBITIONS - 9TH STREET","LONG BEACH",33.7797959,-118.1024222,1
"227","AMBITIONS - ALBURY AVENUE","LONG BEACH",33.8287911,-118.1169889,1
"228","AMBITIONS - BRIGHTON AVENUE","TORRANCE",NA,NA,1
"229","AMBITIONS - DENKER AVENUE","TORRANCE",NA,NA,1
"230","AMBITIONS - DENKER AVENUE","TORRANCE",NA,NA,1
"231","AMBITIONS - DOBLE AVENUE","TORRANCE",33.8144708,-118.2911311,1
"232","AMBITIONS - FAUST AVENUE","LONG BEACH",33.825192,-118.1144005,1
"233","AMBITIONS - FIDLER AVENUE","BELLFLOWER",33.9084129,-118.1316368,1
"234","AMBITIONS - HEDDA STREET","CERRITOS",33.8644821,-118.0567691,1
"235","AMBITIONS - KEYNOTE STREET","LONG BEACH",33.8231367,-118.1119955,1
"236","AMBITIONS - MAE CARDEN","VISALIA",36.3490106,-119.359036,1
"237","AMBITIONS - ROSE 2","BURBANK",34.1867635,-118.3561688,1
"238","AMBITIONS - ROSE HOUSE","BURBANK",34.1687241,-118.3541203,1
"239","AMBITIONS - SUMTER COURT","VISALIA",36.3387462,-119.2510671,1
"240","AMBITIONS - SUNFIELD AVENUE","LONG BEACH",33.8440739,-118.1346569,1
"241","AMBITIONS - VAN RUITEN STREET","BELLFLOWER",33.9048049,-118.1365143,1
"242","AMBITIONS - VERDUGO 1","BURBANK",34.1635501,-118.3351313,1
"243","AMBITIONS - VERDUGO HOUSE 2","BURBANK",34.1625835,-118.3389515,1
"244","AMBITIONS - WOODACRE WAY","ROSEVILLE",38.7252979,-121.2508546,1
"245","AMBROSIO HOME CARE","OCEANSIDE",33.2167413,-117.3362793,1
"246","AMERICAN CARE HOME","ATASCADERO",35.519559,-120.7030897,0
"247","AMERICAN CARE HOME II","TEMPLETON",35.5446045,-120.7186384,1
"248","AMERICAN DREAM HOME CARE","MANTECA",37.80605,-121.209523,1
"249","AMERICAN GUEST HOMES #3","LOS ANGELES",34.040064,-118.3055029,0
"250","AMERICAN HOME CARE","OAKLAND",37.8196156,-122.2721147,1
"251","AMERICAN RIVER RESIDENTIAL SERVICES","CARMICHAEL",38.633286,-121.354578,0
"252","AMERICAN SWEET HOMES","VAN NUYS",34.1966682,-118.4517065,1
"253","AMI-HOLLY HOUSE","FONTANA",34.080932,-117.470119,1
"254","AMI-MARIANA HOUSE","RIALTO",34.1291684,-117.3663328,1
"255","AMI RICHARDSON","SAN BERNARDINO",34.07102,-117.252073,1
"256","AMIGO HOME","RESEDA",34.220451,-118.538564,1
"257","AMIGO HOME CARE, INC.","RESEDA",34.2058863,-118.5380072,1
"258","AMIGO HOME II","WEST HILLS",34.1934844,-118.6404617,1
"259","AMMA'S HOME","SAN MATEO",37.5568923,-122.3068514,1
"260","AMPLIFIED CARE CENTER","RICHMOND",37.9438708,-122.3417434,1
"261","AMPLIFIED JET CENTER","DALY CITY",37.7030638,-122.4577238,1
"262","AMY'S HOUSE","NORCO",33.935343,-117.5278787,1
"263","AMYLEW MANOR","OXNARD",34.2212366,-119.1650763,1
"264","AMYLEW MANOR 2","OXNARD",34.2264042,-119.1931331,1
"265","AMYTONY  HOME, INC. DBA AMYTONY HOME, INC. II","LONG BEACH",33.8120991,-118.094193,1
"266","AMYTONY HOME IV","LONG BEACH",33.7909391,-118.0947984,1
"267","ANA'S HOME","SPRING VALLEY",32.7451264,-116.96929,1
"268","ANA MARIA'S HOME","CORONA",33.8371779,-117.5851138,1
"269","ANAHEIM GUEST HOME","ANAHEIM",33.816026,-117.908277,0
"270","ANAND CARE CENTER III","INGLEWOOD",33.9335878,-118.3443024,0
"271","ANDERSON ADULT HOME I","MORENO VALLEY",33.9407709,-117.2170271,1
"272","ANDERSON ADULT HOME II","MORENO VALLEY",33.9586807,-117.2382851,1
"273","ANDERSON ADULT HOME III","VICTORVILLE",34.4976866,-117.3903643,1
"274","ANDERSON ADULT HOME IV","ADELANTO",NA,NA,1
"275","ANDERSON ADULT RESIDENTIAL FACILITY","ROSEVILLE",38.7376867,-121.2572291,1
"276","ANDERSON COMMUNITY CARE FACILITY","FRESNO",36.7665737,-119.7807001,1
"277","ANDERSON FAMILY CARE HOME","VISALIA",36.3148901,-119.2991591,1
"278","ANDREA GALLEGOS HOME","TULARE",36.1934776,-119.3069896,1
"279","ANDREI'S HOME","SAN MATEO",37.5648514,-122.300542,1
"280","ANGEL'S CARING GUEST HOME","MODESTO",37.6487253,-120.9857005,1
"281","ANGEL'S GROUP HOME","PASO ROBLES",35.6681963,-120.6030137,1
"282","ANGEL'S GROUP HOME LLC","PASO ROBLES",35.6681963,-120.6030137,1
"283","ANGEL'S HAVEN 3","STOCKTON",38.0254397,-121.2720011,1
"284","ANGEL HOME CARE","SAN JOSE",37.3145806,-121.8029852,1
"285","ANGEL HOME CARE II","SAN JOSE",37.3088161,-121.7934406,1
"286","ANGEL HOME CARE SERVICES","LOS ANGELES",34.0728617,-118.3063543,1
"287","ANGEL WINGS INC.","MARYSVILLE",39.116379,-121.540306,1
"288","ANGEL WINGS, INC. #2","MARYSVILLE",39.1155124,-121.5389975,1
"289","ANGELES PARADISE II ARF","CHULA VISTA",NA,NA,1
"290","ANGELICA GUEST HOME","LYNWOOD",33.9124026,-118.2094605,0
"291","ANGELINA HOME AND CARE II","COVINA",34.0912545,-117.9134841,1
"292","ANGELINA HOME AND CARE III","WEST COVINA",34.0114888,-117.8793358,1
"293","ANGELINA HOME & CARE","COVINA",34.1046908,-117.8931742,1
"294","ANGELO'S CARE HOME","IONE",38.3513765,-120.9450948,1
"295","ANGELS ASSISTED LIVING MUSCOY","SAN BERNARDINO",34.158426,-117.354038,0
"296","ANGELS ASSISTED LIVING REDWOOD","FONTANA",34.1079939,-117.4847872,0
"297","ANGELS HAVEN II","OCEANSIDE",33.2390297,-117.3251931,1
"298","ANGELS HOME","GARDEN GROVE",33.7874972,-117.9715055,1
"299","ANGELVIEW CARE HOME @WHITE BOX LANE","MORENO VALLEY",33.9038759,-117.1840657,1
"300","ANGELVIEW CARE HOMES INC. @ RANCHO BAJA","MORENO VALLEY",33.8996028,-117.1775281,1
"301","ANGELVIEW CARE HOMES, INC. (AT PALO CEDRO)","MORENO VALLEY",33.8888874,-117.2135258,1
"302","ANGELVIEW CARE HOMES, INC. (AT SHADOWBROOK)","MORENO VALLEY",33.9371063,-117.2167448,1
"303","ANGELVIEW CARE HOMES, INC. @ DARWIN","MORENO VALLEY",33.9192701,-117.2043018,1
"304","ANGELVIEW CARE HOMES, INC. @ JUMANO","MORENO VALLEY",33.8952445,-117.2118558,1
"305","ANGELVIEW CARE HOMES, INC. @ LA PALMA WAY","MORENO VALLEY",33.898442,-117.178812,1
"306","ANGELVIEW CARE HOMES, INC. @ SHORELINE","MORENO VALLEY",33.8891215,-117.2107269,1
"307","ANGIE'S HAVEN HOME","SAN JOSE",37.2491747,-121.910692,1
"308","ANGIE'S HOME","FULLERTON",33.8576388,-117.9395832,1
"309","ANGIE EDWARDS RESIDENTIAL SERVICES","PORTERVILLE",36.0892264,-119.0718675,1
"310","ANKA ARROYO GRANDE","ARROYO GRANDE",35.1443017,-120.5467737,1
"311","ANKA GLENN EDEN","HAYWARD",37.6224128,-122.0838199,1
"312","ANKA HAYWARD HILLS","HAYWARD",37.6610166,-122.0246497,1
"313","ANKA LA LOMA","NIPOMO",35.0200656,-120.4957215,1
"314","ANKA LINDERO","CONCORD",37.9816092,-122.0008483,1
"315","ANKA PABLO LANE","NIPOMO",35.015135,-120.509959,1
"316","ANKA PRISCILLA LANE","STOCKTON",38.0395362,-121.2774274,1
"317","ANKA SHASTA VIEW","REDDING",40.5815393,-122.3309123,1
"318","ANKA WESTON RANCH","STOCKTON",37.9071007,-121.3205583,1
"319","ANNALYN RESIDENTIAL CARE","SAN DIEGO",32.908894,-117.1372256,1
"320","ANNAPOLIS HOME","SAN BERNARDINO",34.0513617,-117.2843135,1
"321","ANNE SIPPI CLINIC","LOS ANGELES",34.0754133,-118.1731566,0
"322","ANNIE'S CARE HOME #2","SAN JOSE",37.3091412,-121.8361952,1
"323","ANTELOPE VALLEY CARE HOME","LANCASTER",34.622453,-117.825192,1
"324","ANTELOPE VALLEY CARE HOME #2","PALMDALE",34.6038179,-117.823242,1
"325","ANTELOPE VALLEY FOUNDATION, INC.","PALMDALE",34.5441962,-118.0524793,1
"326","ANTHIA AUSTIN ARF","EL CAJON",32.777227,-116.8889952,1
"327","ANTHONY GUEST HOME","POWAY",32.9490591,-117.0181481,1
"328","ANTONIO'S BOARD AND CARE","CHULA VISTA",NA,NA,1
"329","ANYA'S HOME","BELMONT",37.5143075,-122.2949092,1
"330","APK SERENE, HANNALEI","VISTA",33.1779576,-117.2264891,1
"331","APK SERENE, KERN","OCEANSIDE",33.2422627,-117.3170666,1
"332","APK SERENE, MEADOWBROOK","ESCONDIDO",33.134882,-117.0358958,1
"333","APOLLO ADULT RESIDENTIAL CAREHOME 1","SAN JOSE",37.307027,-121.836557,1
"334","APOLLO ADULT RESIDENTIAL CAREHOME 2","SAN JOSE",37.2924607,-121.8126757,1
"335","APOLONIO & FLORENDA TUMAMAO'S CARE HOME #2","SACRAMENTO",38.46313,-121.456237,1
"336","APOSTOL FAMILY HOME LLC I","MORENO VALLEY",33.8848919,-117.2308247,1
"337","APOSTOL FAMILY HOME LLC II","MORENO VALLEY",33.9227365,-117.2279277,1
"338","APPLE STREET, LARC HOME","NEWHALL",34.3740352,-118.5416651,1
