Type,Name,Administrator,Address,City,State,Zip,County.Name,Capacity,License.First.Date,Status,Location,Lat,Long
ADULT RESIDENTIAL,84TH STREET HOME,LATIESHA L MARTIN,2111 WEST 84TH STREET,LOS ANGELES,CA,90047,LOS ANGELES,6,2/15/2013,LICENSED,"2111 WEST 84TH STREET, LOS ANGELES, CA90047",33.9629849,-118.3160186
ADULT RESIDENTIAL,98TH STREET RESIDENTIAL,DOROTHY BURNETT,638 W. 98TH STREET,LOS ANGELES,CA,90044,LOS ANGELES,4,4/26/2016,LICENSED,"638 W. 98TH STREET, LOS ANGELES, CA90044",33.9470118,-118.2859943
ADULT RESIDENTIAL,A AND M ARMOUR HOME CARE,"DELA ROSA, MONALIZA A",2145 ARMOUR STREET,POMONA,CA,91768,LOS ANGELES,4,8/29/2017,LICENSED,"2145 ARMOUR STREET, POMONA, CA91768",34.08721,-117.754956
ADULT RESIDENTIAL,A AND M HOME CARE,MONALIZA A DELA ROSA,2954 KING STREET,LA VERNE,CA,91750,LOS ANGELES,6,11/13/2006,LICENSED,"2954 KING STREET, LA VERNE, CA91750",34.104509,-117.7592253
ADULT RESIDENTIAL,A AND M III HOME CARE,ARIEL P. DELA ROSA,537 CONVERSE AVE,CLAREMONT,CA,91711,LOS ANGELES,6,9/17/2011,LICENSED,"537 CONVERSE AVE, CLAREMONT, CA91711",34.0860203,-117.7116495
ADULT RESIDENTIAL,A AND M IV HOME CARE,ARIEL P. DELA ROSA,226 E. ANNAPOLIS DRIVE,CLAREMONT,CA,91711,LOS ANGELES,4,10/19/2013,LICENSED,"226 E. ANNAPOLIS DRIVE, CLAREMONT, CA91711",34.0888012,-117.7118665
ADULT RESIDENTIAL,A BETTER CHANCE II,RAMSAY MASHY,982 MARLESTA,PINOLE,CA,94564,CONTRA COSTA,6,11/19/1986,LICENSED,"982 MARLESTA, PINOLE, CA94564",38.0018092,-122.3053767
ADULT RESIDENTIAL,A BETTER CHANCE III,SAPRIA TURNER,3592 MORNINGSIDE DRIVE,EL SOBRANTE,CA,94803,CONTRA COSTA,6,12/7/1987,LICENSED,"3592 MORNINGSIDE DRIVE, EL SOBRANTE, CA94803",37.9715772,-122.2764545
ADULT RESIDENTIAL,A BETTER CHANCE V,DEANDRA TYES,2632 APPALOOSA TRAIL,PINOLE,CA,94564,CONTRA COSTA,6,4/27/1990,LICENSED,"2632 APPALOOSA TRAIL, PINOLE, CA94564",37.9869572,-122.2666174
ADULT RESIDENTIAL,A BETTER DAY CARE HOME,SHEILVINA KNIGHT,1975 LINDEN STREET,OAKLAND,CA,94607,ALAMEDA,6,3/5/2015,LICENSED,"1975 LINDEN STREET, OAKLAND, CA94607",37.813422,-122.282748
ADULT RESIDENTIAL,A BETTER LIVING EXPERIENCE,"SMITH, DONNA",9591 KRISTINE WAY,WINDSOR,CA,95492,SONOMA,4,12/9/2015,LICENSED,"9591 KRISTINE WAY, WINDSOR, CA95492",38.5618149,-122.80821
ADULT RESIDENTIAL,A BETTER WAY OF LIFE,RICHARD CAZAS,4834 GREGORY ROAD,RIVERSIDE,CA,92501,RIVERSIDE,6,4/27/2010,LICENSED,"4834 GREGORY ROAD, RIVERSIDE, CA92501",33.9769031,-117.3965864
ADULT RESIDENTIAL,A BETTER WAY OF LIFE II,MANUEL VILLEGAS,9078 LIMECREST DRIVE,RIVERSIDE,CA,92508,RIVERSIDE,6,5/6/1997,LICENSED,"9078 LIMECREST DRIVE, RIVERSIDE, CA92508",33.8871107,-117.319069
ADULT RESIDENTIAL,A BETTER WAY OF LIFE #3,"ALCON, WILFREDO",4452 PONDMOOR DRIVE,RIVERSIDE,CA,92505,RIVERSIDE,4,3/12/2010,LICENSED,"4452 PONDMOOR DRIVE, RIVERSIDE, CA92505",33.908789,-117.493857
ADULT RESIDENTIAL,A FAMILY AFFAIR CARE III,PATRICK CAIN,6635 SOUTH LAND PARK DRIVE,SACRAMENTO,CA,95831,SACRAMENTO,6,1/26/2000,LICENSED,"6635 SOUTH LAND PARK DRIVE, SACRAMENTO, CA95831",38.5059596,-121.5096955
ADULT RESIDENTIAL,A FAMILY AFFAIR CARE V,"MITCHELL, KASSIA",4741 16TH AVENUE,SACRAMENTO,CA,95820,SACRAMENTO,6,10/3/2003,LICENSED,"4741 16TH AVENUE, SACRAMENTO, CA95820",38.5381187,-121.4506428
ADULT RESIDENTIAL,A FAMILY AFFAIR CARE VI,"MITCHELL, KASSIA",8013 43RD AVENUE,SACRAMENTO,CA,95824,SACRAMENTO,6,10/30/2003,LICENSED,"8013 43RD AVENUE, SACRAMENTO, CA95824",38.5138067,-121.4097899
ADULT RESIDENTIAL,A FAMILY AFFAIR IV,"MITCHELL, CAROLYN & MARVIN",1342 PALOMAR CIRCLE,SACRAMENTO,CA,95831,SACRAMENTO,6,12/18/2000,LICENSED,"1342 PALOMAR CIRCLE, SACRAMENTO, CA95831",38.497964,-121.5076188
ADULT RESIDENTIAL,A HOME 4 WAYNE,"WATSON, PAMELA",621 GROVESIDE DRIVE,SAN JACINTO,CA,92582,RIVERSIDE,6,9/23/2016,LICENSED,"621 GROVESIDE DRIVE, SAN JACINTO, CA92582",33.7815867,-117.0232617
ADULT RESIDENTIAL,"A PLACE CALLED HOME FAUNA, INC.","BARRY, MYNEKOHOA CANDACE""""",4633 FAUNA STREET,MONTCLAIR,CA,91763,SAN BERNARDINO,6,2/13/2017,LICENSED,"4633 FAUNA STREET, MONTCLAIR, CA91763",34.0689388,-117.7041323
ADULT RESIDENTIAL,"A PLACE OF GRACE, INC (PADDON ROAD)","PRICE, DAVID",7428 PADDON ROAD,VACAVILLE,CA,95688,SOLANO,6,5/22/2007,LICENSED,"7428 PADDON ROAD, VACAVILLE, CA95688",38.423069,-121.95205
ADULT RESIDENTIAL,"A PLACE OF GRACE, INC. CANTON DRIVE","MEETER, MARY",7312 CANTON DRIVE,LEMON GROVE,CA,91945,SAN DIEGO,6,1/4/2010,LICENSED,"7312 CANTON DRIVE, LEMON GROVE, CA91945",32.7237,-117.037362
ADULT RESIDENTIAL,"A PLACE OF GRACE, INC. CRICKET TRAIL","PRICE, DAVID",4117 CRICKET TRAIL,VACAVILLE,CA,95687,SOLANO,6,8/10/2006,LICENSED,"4117 CRICKET TRAIL, VACAVILLE, CA95687",38.4427594,-121.9971232
ADULT RESIDENTIAL,"A PLACE OF GRACE, INC. LA CRUZ LANE","PRICE, DAVID",851 LA CRUZ LANE,VACAVILLE,CA,95687,SOLANO,6,6/2/2006,LICENSED,"851 LA CRUZ LANE, VACAVILLE, CA95687",38.3394804,-121.99399
ADULT RESIDENTIAL,"A PLACE OF GRACE, INC.(MONTE VISTA)","PRICE, DAVID",396 WEST MONTE VISTA AVENUE,VACAVILLE,CA,95688,SOLANO,6,12/19/2008,LICENSED,"396 WEST MONTE VISTA AVENUE, VACAVILLE, CA95688",38.35945,-122.001376
ADULT RESIDENTIAL,A RESIDENCE,"ALVIS, HIGINIA",2264 CAMBRIDGE DRIVE,FAIRFIELD,CA,94533,SOLANO,5,10/9/2017,LICENSED,"2264 CAMBRIDGE DRIVE, FAIRFIELD, CA94533",38.269954,-122.046898
ADULT RESIDENTIAL,A & E CARE HOME,RENATO L. HAFALIA,13702 CORK STREET,GARDEN GROVE,CA,92844,ORANGE,6,9/23/2013,LICENSED,"13702 CORK STREET, GARDEN GROVE, CA92844",33.7637972,-117.9595217
ADULT RESIDENTIAL,A & K RESIDENTIAL HOME,"FRANCISCO, MARCO",19635 MEEKLAND AVE,HAYWARD,CA,94541,ALAMEDA,6,3/29/2017,LICENSED,"19635 MEEKLAND AVE, HAYWARD, CA94541",37.6772812,-122.1109465
ADULT RESIDENTIAL,A & M II HOME CARE,ARIEL P. DELA ROSA,1476 MURAL DRIVE,CLAREMONT,CA,91711,LOS ANGELES,6,3/19/2010,LICENSED,"1476 MURAL DRIVE, CLAREMONT, CA91711",34.1101451,-117.7402843
ADULT RESIDENTIAL,A & R EBUEN CARE HOME #2,"EBUEN, ROSARIO",8252 ANTON WAY,SACRAMENTO,CA,95823,SACRAMENTO,6,11/7/2006,LICENSED,"8252 ANTON WAY, SACRAMENTO, CA95823",NA,NA
ADULT RESIDENTIAL,A & R GUEST HOME I,RUBEN U. MORTERA,14428 SAN DIEGUITO DRIVE,LA MIRADA,CA,90638,ORANGE,6,6/5/2007,LICENSED,"14428 SAN DIEGUITO DRIVE, LA MIRADA, CA90638",33.8996919,-118.0255228
ADULT RESIDENTIAL,"A & R QUALITY CARE, LLC",AMOR HERNANDEZ,6515 RIO DE ONAR WAY,ELK GROVE,CA,95757,SACRAMENTO,4,9/30/2015,LICENSED,"6515 RIO DE ONAR WAY, ELK GROVE, CA95757",38.3827491,-121.4274727
ADULT RESIDENTIAL,A & T CARE HOME,"NGO, ALLISON",1768 VIA FLORES COURT,SAN JOSE,CA,95132,SANTA CLARA,6,10/7/2002,LICENSED,"1768 VIA FLORES COURT, SAN JOSE, CA95132",37.402399,-121.877385
ADULT RESIDENTIAL,A & W RESIDENTIAL CARE,ALICE C. DE LEON,44503 21ST STREET WEST,LANCASTER,CA,93536,LOS ANGELES,6,6/16/1999,LICENSED,"44503 21ST STREET WEST, LANCASTER, CA93536",34.6917091,-118.1677174
ADULT RESIDENTIAL,AACRES - BIRCHER ST,BRITTANY BENFORD,16544 BIRCHER ST,GRANADA HILLS,CA,91344,LOS ANGELES,4,4/15/2016,LICENSED,"16544 BIRCHER ST, GRANADA HILLS, CA91344",NA,NA
ADULT RESIDENTIAL,AACRES - QUARTZ AVE,WINN MCALONEY,8033 QUARTZ AVE,WINNETKA,CA,91306,LOS ANGELES,4,4/15/2016,LICENSED,"8033 QUARTZ AVE, WINNETKA, CA91306",34.2164978,-118.5644846
ADULT RESIDENTIAL,AACRES CA - ATHERTON,"LLANOS, CARLOS",6927 E ATHERTON ST,LONG BEACH,CA,90805,LOS ANGELES,3,8/22/2013,LICENSED,"6927 E ATHERTON ST, LONG BEACH, CA90805",33.7890637,-118.0981256
ADULT RESIDENTIAL,AACRES CA - MARCELLUS,"NESTHUS, JENNE",1024 E MARCELLUS ST,LONG BEACH,CA,90808,LOS ANGELES,3,5/12/2014,LICENSED,"1024 E MARCELLUS ST, LONG BEACH, CA90808",33.8408295,-118.1808729
ADULT RESIDENTIAL,AACRES CA - OCANA,"BAUTISTA, RONALD",3839 OCANA AVE,LONG BEACH,CA,90808,LOS ANGELES,3,12/20/2013,LICENSED,"3839 OCANA AVE, LONG BEACH, CA90808",33.8288264,-118.1201921
ADULT RESIDENTIAL,AACRES CA - PARK,"NESTHUS, JENNE",9559 PARK ST,BELLFLOWER,CA,90706,LOS ANGELES,3,6/9/2015,LICENSED,"9559 PARK ST, BELLFLOWER, CA90706",33.8786957,-118.1298132
ADULT RESIDENTIAL,AACRES CA LLC - BELLFLOWER,"NESTHUS, JENNE",6129 BELLFLOWER BLVD,LAKEWOOD,CA,90713,ORANGE,4,2/24/2009,LICENSED,"6129 BELLFLOWER BLVD, LAKEWOOD, CA90713",33.866389,-118.125617
ADULT RESIDENTIAL,AACRES CA LLC - GLENWOOD,"CARBAJAL, RAFAEL",2418 GLENWOOD PL,SOUTH GATE,CA,90280,LOS ANGELES,4,12/17/2012,LICENSED,"2418 GLENWOOD PL, SOUTH GATE, CA90280",33.9540381,-118.2279364
ADULT RESIDENTIAL,AACRES CA LLC - NECTAR,"CARBAJAL, RAFAEL",208 NECTAR AVE,LAKEWOOD,CA,90715,ORANGE,4,2/24/2009,LICENSED,"208 NECTAR AVE, LAKEWOOD, CA90715",33.8367881,-118.088004
ADULT RESIDENTIAL,AACRES CA LLC - PENNSYLVANIA,"NESTHUS, JENNE",11343 PENSYLVANIA AVE,SOUTH GATE,CA,90280,LOS ANGELES,4,1/17/2013,LICENSED,"11343 PENSYLVANIA AVE, SOUTH GATE, CA90280",33.9231669,-118.1724406
ADULT RESIDENTIAL,AACRES CA LLC - TUPPER,"JAMES, LASEAN",16312 TUPPER ST,NORTH HILLS,CA,91343,LOS ANGELES,4,7/14/2009,LICENSED,"16312 TUPPER ST, NORTH HILLS, CA91343",34.2390842,-118.4878189
ADULT RESIDENTIAL,"AARONS HOME, LLC","EMERTON, DARLENE",3427 TREASURE ISLE COURT,REDDING,CA,96003,SHASTA,6,7/27/2012,LICENSED,"3427 TREASURE ISLE COURT, REDDING, CA96003",40.608852,-122.4133064
ADULT RESIDENTIAL,ABAD GROUP HOME II,ROSALIE A. NAVAL,22310 HALLDALE AVENUE,TORRANCE,CA,90501,LOS ANGELES,6,5/5/1986,LICENSED,"22310 HALLDALE AVENUE, TORRANCE, CA90501",33.824024,-118.3012597
ADULT RESIDENTIAL,ABAD HOME III,"BAILEY, LINDA",22720 DATE AVENUE,TORRANCE,CA,90501,LOS ANGELES,6,1/29/1990,LICENSED,"22720 DATE AVENUE, TORRANCE, CA90501",33.8192577,-118.3284368
ADULT RESIDENTIAL,ABAGAT'S ARF FOR THE DEVELOPMENTALLY DISABLED,JESSIE ABAGAT,1508 REKLOW DRIVE,SAN DIEGO,CA,92154,SAN DIEGO,6,8/30/2006,LICENSED,"1508 REKLOW DRIVE, SAN DIEGO, CA92154",32.5689929,-117.0866254
ADULT RESIDENTIAL,ABARQUEZ HOMES INC.,"ANDRES, RICARDO",312 NW 4TH STREET,VISALIA,CA,93291,TULARE,4,12/11/2007,LICENSED,"312 NW 4TH STREET, VISALIA, CA93291",36.3414332,-119.2944344
ADULT RESIDENTIAL,ABBY'S ADULT RESIDENTIAL CARE HOME,LILIBETH ORDINIZA,3327 SAN MARCO COURT,UNION CITY,CA,94587,ALAMEDA,6,4/15/2011,LICENSED,"3327 SAN MARCO COURT, UNION CITY, CA94587",37.5936744,-122.0708034
ADULT RESIDENTIAL,ABBY'S GUEST HOME,"HAO, DORIS Z",1622 E LOUISA AVE,WEST COVINA,CA,91791,LOS ANGELES,6,7/28/2017,LICENSED,"1622 E LOUISA AVE, WEST COVINA, CA91791",34.0836025,-117.9113391
ADULT RESIDENTIAL,ABBY'S HOME,ABIGAIL LORIMER,7330 PRINCEVALLE STREET,GILROY,CA,95020,SANTA CLARA,6,1/3/2006,LICENSED,"7330 PRINCEVALLE STREET, GILROY, CA95020",37.0033061,-121.5763321
ADULT RESIDENTIAL,ABC CARE HOME,R. WARAICH/J. RODRIGUEZ,2424 ALMADEN BLVD.,UNION CITY,CA,94587,ALAMEDA,6,3/17/2007,LICENSED,"2424 ALMADEN BLVD., UNION CITY, CA94587",37.5975726,-122.0552344
ADULT RESIDENTIAL,ABC1 LLC,"PROTHRO, ESTER",24815 MOONSHADOW DRIVE,MORENO VALLEY,CA,92557,RIVERSIDE,6,8/22/2016,LICENSED,"24815 MOONSHADOW DRIVE, MORENO VALLEY, CA92557",33.9697931,-117.2294587
ADULT RESIDENTIAL,ABELLA ADULT RESIDENTIAL FACILITY-V,LOURDES ABELLA,26957 CAMPUS POINT DRIVE,MORENO VALLEY,CA,92555,RIVERSIDE,6,7/29/2005,LICENSED,"26957 CAMPUS POINT DRIVE, MORENO VALLEY, CA92555",33.9249067,-117.1924157
ADULT RESIDENTIAL,ABELLA ADULT RESIDENTIAL FACILITY IV,LOURDES G. ABELLA,16515 DARTMOOR CIRCLE,MORENO VALLEY,CA,92551,RIVERSIDE,6,8/31/2004,LICENSED,"16515 DARTMOOR CIRCLE, MORENO VALLEY, CA92551",33.8804845,-117.2081909
ADULT RESIDENTIAL,ABELLA ARF-DARWIN,LOURDES G. ABELLA,13705 DARWIN DRIVE,MORENO VALLEY,CA,92555,RIVERSIDE,6,9/28/2007,LICENSED,"13705 DARWIN DRIVE, MORENO VALLEY, CA92555",33.9211797,-117.2043999
ADULT RESIDENTIAL,ABEL&DAVIT HAYRAPETYAN'S COMMUNITY CARE FACILITY,"GHAZARYAN, YERANUHI",10185 SHARP AVE,ARLETA,CA,91331,LOS ANGELES,6,2/13/2017,LICENSED,"10185 SHARP AVE, ARLETA, CA91331",34.2551764,-118.4345423
ADULT RESIDENTIAL,ABIA PEPPER HOUSE,"TOLENTINO, CHAELSEA",468 PEPPER DRIVE,TEHACHAPI,CA,93561,KERN,4,6/29/2017,LICENSED,"468 PEPPER DRIVE, TEHACHAPI, CA93561",35.1267146,-118.4417683
ADULT RESIDENTIAL,"ABODE, THE",THESS T. NOVICIO,1735 ECHO AVENUE,SAN MATEO,CA,94401,SAN MATEO,6,8/18/1997,LICENSED,"1735 ECHO AVENUE, SAN MATEO, CA94401",37.5642722,-122.2987949
ADULT RESIDENTIAL,ABORN ADULT CARE HOME,"DULCE CERA, 841-0248",2868 ABORN ROAD,SAN JOSE,CA,95135,SANTA CLARA,6,6/13/2005,LICENSED,"2868 ABORN ROAD, SAN JOSE, CA95135",37.3139972,-121.7893768
ADULT RESIDENTIAL,ABOVE AND BEYOND CARE HOMES INC.,PANCRACIO C. PEREZ,5363 MEREDITH AVENUE,PALMDALE,CA,93552,LOS ANGELES,4,7/8/2010,LICENSED,"5363 MEREDITH AVENUE, PALMDALE, CA93552",34.5666321,-118.0328978
ADULT RESIDENTIAL,ABRAHAM HOUSE,JENI BAIRD,"558 MAPLEWOOD STREET, N.",ORANGE,CA,92867,ORANGE,5,12/28/2006,LICENSED,"558 MAPLEWOOD STREET, N., ORANGE, CA92867",NA,NA
ADULT RESIDENTIAL,ABRAJANO GROUP HOME,"ABRAJANO, JOSEPH",5953 E. GALLANT ST.,BELL GARDENS,CA,90201,LOS ANGELES,12,2/9/2006,LICENSED,"5953 E. GALLANT ST., BELL GARDENS, CA90201",33.9619464,-118.1612885
ADULT RESIDENTIAL,ABSOLUTE MANAGED CARE,LA TRACIA MORGAN,1507 W 47TH STREET,LOS ANGELES,CA,90062,LOS ANGELES,4,8/21/2015,LICENSED,"1507 W 47TH STREET, LOS ANGELES, CA90062",34.0012294,-118.3037535
ADULT RESIDENTIAL,ABSOLUTE MANAGED CARE II,"BROOKS, BRANDI",2033 W IMPERIAL HWY,LOS ANGELES,CA,90047,LOS ANGELES,6,6/20/2017,LICENSED,"2033 W IMPERIAL HWY, LOS ANGELES, CA90047",33.9313593,-118.3145798
ADULT RESIDENTIAL,ABSOLUTELY CARE FACILITY,"ARZO,ESSA",33372 CRESTVIEW,TEMECULA,CA,92592,RIVERSIDE,6,10/27/2016,LICENSED,"33372 CRESTVIEW, TEMECULA, CA92592",33.469433,-117.075144
ADULT RESIDENTIAL,ABUTIN CARE HOME I,JOYCE ABUTIN,603 E. IRIS STREET,OXNARD,CA,93033,VENTURA,6,7/31/2014,LICENSED,"603 E. IRIS STREET, OXNARD, CA93033",34.179761,-119.170424
ADULT RESIDENTIAL,ABUTIN CARE HOME II,BENJAMIN G. ABUTIN JR.,1830 W. HILL STREET,OXNARD,CA,93035,VENTURA,6,7/31/2014,LICENSED,"1830 W. HILL STREET, OXNARD, CA93035",34.1860859,-119.2059759
ADULT RESIDENTIAL,ABUTIN CARE HOME III,BENJAMIN G. ABUTIN JR.,3100 OARFISH LANE,OXNARD,CA,93035,VENTURA,6,7/31/2014,LICENSED,"3100 OARFISH LANE, OXNARD, CA93035",34.193352,-119.2109
ADULT RESIDENTIAL,ABUTIN CARE HOME IV,JOYCE ABUTIN,1992 NARANJA LANE,OXNARD,CA,93036,VENTURA,6,7/31/2014,LICENSED,"1992 NARANJA LANE, OXNARD, CA93036",34.2205662,-119.1659736
ADULT RESIDENTIAL,AC HOME,"PALENCIA, LOUIE",210 LOS ALTOS PLACE,AMERICAN CANYON,CA,94503,NAPA,4,1/28/2014,LICENSED,"210 LOS ALTOS PLACE, AMERICAN CANYON, CA94503",38.1768916,-122.2578898
ADULT RESIDENTIAL,ACACIA HOME,"MARTINEZ, LUPE",783 ACACIA AVE,REEDLEY,CA,93654,TULARE,6,9/1/1993,LICENSED,"783 ACACIA AVE, REEDLEY, CA93654",36.6031061,-119.4506737
ADULT RESIDENTIAL,"ACACIA HOUSE, THE","MCBEE, BRENDA R",2826 W SAN GABRIEL,FRESNO,CA,93705,FRESNO,4,9/18/2015,LICENSED,"2826 W SAN GABRIEL, FRESNO, CA93705",36.8037453,-119.8435005
ADULT RESIDENTIAL,ACOB'S HOME CARE,EDITHA B. ACOB,2453 CABRILLO DRIVE,HAYWARD,CA,94545,ALAMEDA,6,9/14/1993,LICENSED,"2453 CABRILLO DRIVE, HAYWARD, CA94545",37.62243,-122.0943
ADULT RESIDENTIAL,ACOB HOME,EDITHA B. ACOB,512 TEASDALE PLACE,HAYWARD,CA,94544,ALAMEDA,6,11/1/2004,LICENSED,"512 TEASDALE PLACE, HAYWARD, CA94544",37.648602,-122.0924181
ADULT RESIDENTIAL,ACOB HOME 3,EDITHA B. & EDWIN B. ACOB,426 MAC KENZIE PLACE,HAYWARD,CA,94544,ALAMEDA,5,7/18/2008,LICENSED,"426 MAC KENZIE PLACE, HAYWARD, CA94544",37.6518787,-122.0916197
ADULT RESIDENTIAL,ACOSTA ARF #1,NICOLLE DUQUE,5273 VELMA TERRACE,SAN DIEGO,CA,92114,SAN DIEGO,4,8/3/2010,LICENSED,"5273 VELMA TERRACE, SAN DIEGO, CA92114",32.7016434,-117.0807226
ADULT RESIDENTIAL,ACOSTA ARF #2,BERNADETTE ACOSTA,2115 SEA BREEZE DR,SAN DIEGO,CA,92139,SAN DIEGO,6,8/3/2010,LICENSED,"2115 SEA BREEZE DR, SAN DIEGO, CA92139",32.680309,-117.0630295
ADULT RESIDENTIAL,ACOSTA ARF #3,NICOLLE DUQUE,832 48TH STREET,SAN DIEGO,CA,92102,SAN DIEGO,6,8/3/2010,LICENSED,"832 48TH STREET, SAN DIEGO, CA92102",32.7144156,-117.0921103
ADULT RESIDENTIAL,ACOSTA ARF #4,BERNADETTE ACOSTA,6265 CHILDS AVENUE,SAN DIEGO,CA,92139,SAN DIEGO,6,8/3/2010,LICENSED,"6265 CHILDS AVENUE, SAN DIEGO, CA92139",32.6708782,-117.0539394
ADULT RESIDENTIAL,ACOSTA FAMILY HOME,"ACOSTA, NELSO",1540 CYRENE DRIVE,CARSON,CA,90746,LOS ANGELES,6,6/25/1987,LICENSED,"1540 CYRENE DRIVE, CARSON, CA90746",33.8480184,-118.2449651
ADULT RESIDENTIAL,ACOSTA FAMILY HOME II,"ACOSTA, NELSO",1811 ABILA STREET,CARSON,CA,90745,LOS ANGELES,6,9/26/1991,LICENSED,"1811 ABILA STREET, CARSON, CA90745",33.8298172,-118.2410478
ADULT RESIDENTIAL,ACOSTA FAMILY HOME III,ASHLEY ACOSTA,620 W 50TH STREET,LOS ANGELES,CA,90037,LOS ANGELES,6,10/11/2013,LICENSED,"620 W 50TH STREET, LOS ANGELES, CA90037",33.9971525,-118.2849718
ADULT RESIDENTIAL,ACTIVE CARE HOME,"AGUIRRE, JOSEFINA S.",1838 SOUTH RADWAY AVENUE,WEST COVINA,CA,91790,LOS ANGELES,6,10/1/2004,LICENSED,"1838 SOUTH RADWAY AVENUE, WEST COVINA, CA91790",34.0497942,-117.955558
ADULT RESIDENTIAL,AD & T GROUP HOME,TAIWO FASHOLA,16815 SUPERIOR STREET,NORTHRIDGE,CA,91343,LOS ANGELES,6,11/28/2007,LICENSED,"16815 SUPERIOR STREET, NORTHRIDGE, CA91343",34.2472502,-118.4987138
ADULT RESIDENTIAL,ADAM'S ARF,"CROW, DARA",927 TANYA LANE,FALLBROOK,CA,92028,SAN DIEGO,6,9/30/2015,LICENSED,"927 TANYA LANE, FALLBROOK, CA92028",33.3900268,-117.2376971
ADULT RESIDENTIAL,ADAM'S HELENA ARF,"CROW, DARA",4041 HELENA STREET,FALLBROOK,CA,92028,SAN DIEGO,4,9/30/2015,LICENSED,"4041 HELENA STREET, FALLBROOK, CA92028",33.3698375,-117.1730498
ADULT RESIDENTIAL,ADAMS RESIDENTIAL CARE FACILITY,UN J. LEE,1665 W. ADAMS BLVD.,LOS ANGELES,CA,90007,LOS ANGELES,63,7/19/1986,LICENSED,"1665 W. ADAMS BLVD., LOS ANGELES, CA90007",34.0329867,-118.2995841
ADULT RESIDENTIAL,ADE EMMANUEL ADULT RESIDENTIAL FACILITY,ADEBAYO OSISANYA,10972 LOU DILLON AVE,LOS ANGELES,CA,90059,LOS ANGELES,4,11/24/2014,LICENSED,"10972 LOU DILLON AVE, LOS ANGELES, CA90059",33.9355483,-118.2345666
ADULT RESIDENTIAL,ADELAIDE HOME,"BRAUD, KEVIN",615 CHRISTINE DRIVE,VACAVILLE,CA,95687,SOLANO,4,9/27/2017,LICENSED,"615 CHRISTINE DRIVE, VACAVILLE, CA95687",38.3618601,-121.9433226
ADULT RESIDENTIAL,ADENA,PAM JOHN,2673 PATTERSON ROAD,RIVERBANK,CA,95367,STANISLAUS,15,4/3/1997,LICENSED,"2673 PATTERSON ROAD, RIVERBANK, CA95367",37.733056,-120.9472077
ADULT RESIDENTIAL,ADI RESIDENTIAL FACILITY FOR ADULTS,ARDIS DOUGLAS,829 W. 69TH ST.,LOS ANGELES,CA,90044,LOS ANGELES,6,7/3/1990,LICENSED,"829 W. 69TH ST., LOS ANGELES, CA90044",33.9774457,-118.2881873
